"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
AVERAGE,0,,,,,,,,,,0.316,,
"Bregman, Alex",608324,2026,620,449,0.258,0.245,0.013,0.44,0.377,0.063,0.344,0.317,0.027
"Crow-Armstrong, Pete",691718,2026,618,375,0.282,0.259,0.023,0.573,0.497,0.076,0.403,0.369,0.034
"Henderson, Gunnar",683002,2026,614,416,0.223,0.245,-0.022,0.407,0.399,0.008,0.312,0.319,-0.007
"Busch, Michael",683737,2026,613,382,0.239,0.23,0.009,0.391,0.399,-0.008,0.332,0.33,0.002
"Herrera, Iván",671056,2026,612,407,0.243,0.247,-0.004,0.375,0.372,0.003,0.33,0.33,0
"Reynolds, Bryan",668804,2026,601,369,0.262,0.248,0.014,0.421,0.432,-0.011,0.351,0.349,0.002
"Tatis Jr., Fernando",665487,2026,600,430,0.281,0.296,-0.015,0.438,0.482,-0.044,0.342,0.373,-0.031
"Olson, Matt",621566,2026,600,387,0.256,0.25,0.006,0.523,0.519,0.004,0.364,0.36,0.004
"Stewart, Sal",701398,2026,599,408,0.266,0.257,0.009,0.489,0.484,0.005,0.354,0.351,0.003
"McGonigle, Kevin",805808,2026,598,432,0.274,0.263,0.011,0.415,0.436,-0.021,0.352,0.353,-0.001
"Alonso, Pete",624413,2026,598,377,0.268,0.284,-0.016,0.5,0.545,-0.045,0.371,0.392,-0.021
"Caminero, Junior",691406,2026,597,415,0.282,0.273,0.009,0.536,0.497,0.039,0.385,0.365,0.02
"Vargas, Miguel",678246,2026,596,398,0.249,0.269,-0.02,0.488,0.519,-0.031,0.368,0.389,-0.021
"Alvarez, Yordan",670541,2026,596,391,0.318,0.326,-0.008,0.607,0.661,-0.054,0.43,0.452,-0.022
"Neto, Zach",687263,2026,595,349,0.236,0.208,0.028,0.432,0.403,0.029,0.329,0.306,0.023
"Turner, Trea",607208,2026,593,422,0.241,0.242,-0.001,0.378,0.363,0.015,0.297,0.292,0.005
"Schwarber, Kyle",656941,2026,592,305,0.243,0.238,0.005,0.524,0.495,0.029,0.377,0.364,0.013
"Hoerner, Nico",663538,2026,592,492,0.263,0.3,-0.037,0.362,0.377,-0.015,0.303,0.325,-0.022
"Harper, Bryce",547180,2026,590,370,0.268,0.276,-0.008,0.505,0.504,0.001,0.385,0.393,-0.008
"Abreu, Wilyer",677800,2026,590,403,0.254,0.255,-0.001,0.464,0.475,-0.011,0.344,0.35,-0.006
"Albies, Ozzie",645277,2026,588,456,0.254,0.232,0.022,0.412,0.356,0.056,0.314,0.286,0.028
"Díaz, Yandy",650490,2026,587,443,0.3,0.284,0.016,0.461,0.443,0.018,0.361,0.351,0.01
"Devers, Rafael",646240,2026,587,374,0.252,0.234,0.018,0.49,0.456,0.034,0.352,0.333,0.019
"Wetherholt, JJ",802139,2026,586,412,0.242,0.256,-0.014,0.37,0.438,-0.068,0.322,0.351,-0.029
"Carroll, Corbin",682998,2026,586,382,0.244,0.251,-0.007,0.476,0.443,0.033,0.352,0.346,0.006
"Bichette, Bo",666182,2026,584,438,0.263,0.276,-0.013,0.391,0.411,-0.02,0.308,0.322,-0.014
"Lopez, Otto",672640,2026,583,473,0.305,0.282,0.023,0.442,0.422,0.02,0.339,0.324,0.015
"Aranda, Jonathan",666018,2026,583,379,0.277,0.262,0.015,0.419,0.446,-0.027,0.344,0.349,-0.005
"Ohtani, Shohei",660271,2026,582,360,0.28,0.292,-0.012,0.529,0.563,-0.034,0.383,0.402,-0.019
"Ward, Taylor",621493,2026,581,355,0.229,0.243,-0.014,0.319,0.366,-0.047,0.317,0.337,-0.02
